Chapter,Topic,Question,Equation,Answer
Structure of Atom,Quantum Mechanics,Maximum electrons in one orbital?,2,Each orbital can contain maximum two electrons.
Alcohols Phenols Ethers,Ether Formation,What type of reaction is Williamson synthesis?,RONa + R'X → R–O–R' + NaX,It is a nucleophilic substitution reaction where alkoxide ion attacks alkyl halide.
Physical Chemistry,Atomic Mass,What is gram atomic mass?,atomic mass expressed in grams,Gram atomic mass is atomic mass taken in grams.
Carboxylic Acids,Carboxylic Acid Properties,Explain why aromatic acids show higher acidity.,C6H5COOH ⇌ C6H5COO−,Resonance delocalization in aromatic ring stabilizes conjugate base.
Thermodynamics,Second Law,Entropy change equation?,ΔS = qrev/T,Entropy change equals reversible heat divided by temperature.
Haloalkanes and Haloarenes,Haloalkane Reactions,Explain SN1 mechanism.,R3C–X + Nu− → R3C–Nu,"SN1 occurs in two steps. First, the leaving group departs forming carbocation (slow step). Then nucleophile attacks carbocation (fast step). Reaction rate depends only on haloalkane concentration."
Chemistry in Everyday Life,Cleansing Agents,Explain why cleansing agents form foam.,surfactant + water → foam,Foam formation increases surface area aiding cleaning.
Biomolecules,Proteins,What is isoelectric point?,amino acid ⇌ neutral form,Isoelectric point is pH at which amino acid exists in neutral zwitterionic form with no net charge.
Aldehydes and Ketones,Ketone Tests,Explain why aromatic ketones show lower reactivity in tests.,C6H5CO–R → slow reaction,"Resonance stabilization reduces electrophilicity of carbonyl carbon, decreasing reactivity in nucleophilic addition reactions."
Alcohols Phenols Ethers,Phenol Properties,Explain why picric acid is much stronger acid than phenol.,C6H2(NO2)3OH ⇌ C6H2(NO2)3O⁻ + H⁺,"Picric acid contains three strongly electron-withdrawing nitro groups. These groups stabilize the phenoxide ion through both inductive (–I) and resonance (–R) effects, significantly dispersing the negative charge. This extensive stabilization greatly increases acidity compared to phenol."
Chemistry in Everyday Life,Cleansing Agents,Explain micelle formation mechanism.,surfactant molecules → micelle,"Above certain concentration, molecules aggregate with tails inward and heads outward forming micelles."
Structure of Atom,Atomic Models,What is Rutherford atomic model?,planetary model,Electrons revolve around central nucleus.
Physical Chemistry,Stoichiometry,Why are stoichiometric coefficients mole ratios and not mass ratios?,equation based on molecules,Coefficients represent relative numbers of molecules or moles participating in reaction.
Hydrocarbons,Alkene Formation,Predict reagent for selective cis-alkene synthesis.,alkyne → cis-alkene,Lindlar catalyst is preferred for selective cis-alkene preparation.
Haloalkanes and Haloarenes,Haloarene Reactions,Explain nucleophilic attack on benzyne.,benzyne + Nu− → substituted product,Nucleophile attacks either carbon of benzyne triple bond leading to substituted aromatic product after protonation.
Equilibrium,Buffer Solutions,Explain buffer preparation using required pH.,ratio = antilog(pH − pKa),"Using Henderson equation, ratio of salt to acid is calculated for desired pH, allowing precise buffer preparation."
Amines,Amine Properties,Compare basicity of aliphatic vs aromatic amines.,R–NH2 vs C6H5NH2,"Aliphatic amines are more basic because electron-donating alkyl groups increase electron density, unlike aromatic amines where resonance reduces availability."
Hydrocarbons,Alkyne Concepts,Why do terminal alkynes form precipitates with ammoniacal AgNO3?,RC≡CH + AgNO3 → RC≡CAg,Terminal alkynes form insoluble silver acetylides because of acidic hydrogen.
Biomolecules,Carbohydrates,A sugar gives negative Fehling test but positive after hydrolysis. Identify.,sugar + H2O → reducing sugars,"This indicates non-reducing sugar like sucrose, which on hydrolysis yields reducing sugars."
Alcohols Phenols Ethers,Alcohol Tests,"Explain the difference in oxidation behavior of 1°, 2°, and 3° alcohols.",CH3CH2OH + [O] → CH3COOH ; CH3CHOHCH3 + [O] → CH3COCH3,"Primary alcohol oxidizes to acid, secondary to ketone, and tertiary does not oxidize easily due to absence of α-hydrogen."
States of Matter,Gas Properties,What is diffusion?,mixing of gases,Diffusion is spontaneous mixing of particles.
Amines,Amine Properties,How do amines behave with acids?,R–NH2 + HCl → R–NH3+Cl−,"Amines react with acids forming ammonium salts, confirming their basic nature."
Aldehydes and Ketones,Ketone Formation,How are ketones prepared from benzene derivatives?,C6H6 + RCOCl → C6H5COR + HCl,Friedel–Crafts acylation introduces acyl group into aromatic ring forming ketones.
Physical Chemistry,Mole Concept,Calculate the number of moles in 44 g of CO2.,n = 44/44,44 g of CO2 contains 1 mole of carbon dioxide.
Aldehydes and Ketones,Ketone Formation,How are ketones formed from esters?,RCOOR' + RMgX → R–CO–R',"Esters react with Grignard reagents forming ketones, but further reaction may produce alcohol if not controlled."
Biomolecules,Carbohydrates,Explain why fructose reduces Tollens reagent.,fructose ⇌ glucose ⇌ oxidation,"Fructose converts into glucose in basic medium through enediol intermediate, enabling reduction reactions."
Aldehydes and Ketones,Ketone Formation,Explain full mechanism of acid-catalyzed hydration of alkynes.,R–C≡C–R' + H2O → enol → R–CO–R',"In presence of acid and Hg²⁺ catalyst, water adds across triple bond following Markovnikov rule. This produces an enol intermediate which rapidly tautomerizes to ketone due to greater stability of carbonyl group."
Alcohols Phenols Ethers,Ether Concepts,Why ethers stable?,R–O–R (stable),Resistant to mild reagents
Polymers,Polymer Classification,Why are biodegradable polymers environmentally beneficial?,reduced persistent waste,They reduce accumulation of nondegradable plastics.
Amines,Amine Reactions,Explain why aromatic amines are less basic than aliphatic amines.,C6H5NH2 vs R–NH2,Lone pair on nitrogen delocalizes into benzene ring reducing its availability for protonation.
Polymers,Polymerization Mechanism,Explain stereospecific polymerization.,controlled stereochemistry,Stereospecific catalysts produce ordered polymer configurations.
Redox Reactions,Oxidation Number,Why does oxygen show positive oxidation state in OF2?,fluorine more electronegative,Fluorine attracts shared electrons more strongly than oxygen.
Polymers,Polymer Concepts,Why do polymers have high molecular mass?,many repeating units,Large number of monomer units combine to form giant molecules.
Carboxylic Acids,Carboxylic Acid Reactions,Identify reagent for α-halogenation of acid.,R–CH2COOH + Br2 → R–CHBrCOOH,Hell-Volhard-Zelinsky reaction uses Br2/red phosphorus for α-halogenation.
Hydrocarbons,Alkene Reactions,Explain anti-Markovnikov addition of HBr.,C=C + HBr → anti-Markovnikov product,"In presence of peroxide, HBr adds through free radical mechanism giving anti-Markovnikov product."
Haloalkanes and Haloarenes,Haloarene Concepts,What is aromaticity?,delocalized π electrons,Aromatic compounds have cyclic delocalized π-electron system providing extra stability.
Physical Chemistry,Composition,What is percentage composition?,(element mass/compound mass)×100,Percentage composition gives percentage mass of each element present in a compound.
Polymers,Polymerization Mechanism,Why is understanding polymerization mechanism important?,control over polymer properties,Mechanistic control enables design of advanced polymeric materials.
Thermodynamics,Third Law,Why is third law fundamental in thermodynamics?,connects entropy with absolute scale,It establishes reference point for entropy calculations.
Biomolecules,Proteins,Compare stability: α-helix vs β-sheet.,α vs β structure,Both are stabilized by hydrogen bonding but differ in arrangement and orientation.
Structure of Atom,Spectral Series,Why are Lyman lines ultraviolet?,large energy difference,Transitions to n=1 release high-energy photons.
Equilibrium,Acid–Base Theory,pH of weak acid expression.,[H+] = √(Ka × C),"For weak acids, dissociation is partial. Using equilibrium approximation, hydrogen ion concentration is calculated using square root expression."
Hydrocarbons,Alkane Formation,Explain radical mechanism of Wurtz reaction.,2R–X + 2Na → R–R + 2NaX,Sodium transfers electrons to alkyl halide forming alkyl radicals or organosodium intermediates which couple to form alkane.
States of Matter,Gas Laws,Why do real gases deviate from ideal behavior?,intermolecular forces and molecular volume,Ideal assumptions fail at high pressure and low temperature.
Equilibrium,Solubility,Explain solubility curves concept.,solubility vs T,Solubility varies with temperature and is represented graphically to understand dissolution behavior.
Equilibrium,Hydrolysis,Derive pH of salt of weak acid and strong base.,pH = 7 + ½(pKa + log C),"The salt produces OH− ions. Using Kh and equilibrium concentration expressions, pOH is calculated first and then converted to pH. Result shows pH > 7 indicating basic nature."
Structure of Atom,Spectral Series,Why do spectral lines converge?,energy levels become closer,Higher energy levels have smaller energy gaps.
Alcohols Phenols Ethers,Alcohol Reactions,What happens when alcohol reacts with ammonia?,ROH + NH3 → RNH2 + H2O,Alcohol reacts with ammonia to form amines under suitable conditions through substitution reaction.
Alcohols Phenols Ethers,Alcohol Tests,What happens when alcohol reacts with FeCl₃?,C₂H₅OH + FeCl₃ → no reaction,Alcohol does not form complex
Aldehydes and Ketones,Ketone Reactions,What happens when ketones are reduced?,R–CO–R' + [H] → R–CHOH–R',Ketones undergo reduction to form secondary alcohols. Hydrogen adds across the carbonyl group converting C=O into C–OH.
Thermodynamics,Thermochemistry,Sign of ΔH for exothermic reaction?,negative,Enthalpy decreases during exothermic reaction.
Haloalkanes and Haloarenes,Haloalkane Formation,How is bromobutane (C₄H₉Br) formed?,4C + 9H + Br → C4H9Br,One hydrogen atom of butane is replaced by bromine forming bromobutane
Carboxylic Acids,Carboxylic Acid Reactions,Explain why amides are least reactive.,RCONH2 → stable,Strong resonance stabilization reduces electrophilicity of carbonyl carbon.
Polymers,Polymer Concepts,Explain stereoregularity in polymers.,isotactic/syndiotactic/atactic,Stereoregularity describes spatial arrangement of side groups.
Physical Chemistry,Measurements,What is percentage error?,relative error ×100,Percentage error expresses error as percentage.
Amines,Amine Reactions,Predict product when amine reacts with benzoyl chloride.,R–NH2 + C6H5COCl → R–NHCOC6H5 + HCl,Amines undergo benzoylation forming amides useful for identification.
Equilibrium,Basic Concepts,What is relation between Q and K?,Q vs K,If Q < K reaction proceeds forward; if Q > K reaction proceeds backward.
Biomolecules,Nucleic Acids,Why G–C rich DNA is more stable?,G≡C → stronger interaction,More hydrogen bonds and stronger stacking interactions increase stability.
Haloalkanes and Haloarenes,Haloalkane Concepts,Explain nucleophilic substitution reaction concept.,R–X + Nu− → R–Nu,Nucleophile attacks electron-deficient carbon replacing halogen atom.
Thermodynamics,First Law,Why are endothermic reactions positive in ΔH?,heat absorbed,System gains enthalpy from surroundings.
Amines,Amine Formation,Predict major product when alkyl halide reacts with limited NH3.,R–X + NH3 → mixture,"Limited ammonia leads to multiple alkylation producing mixture of primary, secondary, tertiary amines and quaternary salts."
